date,open,high,low,close,atr,rsi
23/10/2012,0.8155,0.81609,0.81248,0.81404,0.004134694,66.9073685
24/10/2012,0.81404,0.81481,0.80775,0.80893,0.004359718,55.37887151
25/10/2012,0.80893,0.80982,0.80193,0.80244,0.004631278,44.81682044
26/10/2012,0.80244,0.80414,0.80023,0.80369,0.004575795,46.91678227
29/10/2012,0.80356,0.80559,0.80235,0.80487,0.004473041,48.89390688
30/10/2012,0.80485,0.80727,0.80401,0.80629,0.00437973,51.24715533
31/10/2012,0.80625,0.80754,0.80292,0.80348,0.004398213,46.66769684
01/11/2012,0.80348,0.80415,0.80036,0.80236,0.004351427,44.9438028
02/11/2012,0.80236,0.80287,0.79966,0.80089,0.004263625,42.71359994
05/11/2012,0.80165,0.80166,0.79861,0.80075,0.004170269,42.49731245
06/11/2012,0.80076,0.80208,0.79841,0.80103,0.004131787,43.11769149
07/11/2012,0.80103,0.80314,0.79715,0.79892,0.004274726,39.64646792
08/11/2012,0.79892,0.79947,0.79607,0.79759,0.00420744,37.59210306
09/11/2012,0.79759,0.79989,0.79672,0.79949,0.004127637,42.19985063
12/11/2012,0.79975,0.80207,0.79883,0.80048,0.004059357,44.49924925
13/11/2012,0.80048,0.80081,0.79702,0.80048,0.004038637,44.49924925
14/11/2012,0.80048,0.80493,0.80006,0.80395,0.004102588,52.22513714
15/11/2012,0.80395,0.8065,0.80303,0.80551,0.004053928,55.24163854
16/11/2012,0.80551,0.80601,0.80096,0.80224,0.004130549,48.35019574
19/11/2012,0.80205,0.80562,0.80118,0.80556,0.004154353,54.54968002
20/11/2012,0.80556,0.80568,0.80268,0.80474,0.004065556,52.86199693
21/11/2012,0.80474,0.80507,0.80059,0.80423,0.004097436,51.78880937
22/11/2012,0.80423,0.80856,0.80386,0.80839,0.004143788,59.08537474
23/11/2012,0.80836,0.81086,0.80748,0.80917,0.004085035,60.2986568
26/11/2012,0.80943,0.81095,0.80812,0.80945,0.003988493,60.74862947
27/11/2012,0.80945,0.81142,0.80599,0.8078,0.004099379,56.67236049
28/11/2012,0.8078,0.80889,0.80623,0.80878,0.003988657,58.45542669
29/11/2012,0.80876,0.8113,0.80816,0.80916,0.003923376,59.15730057
30/11/2012,0.80916,0.81325,0.80865,0.81108,0.003975424,62.59578917
03/12/2012,0.81101,0.81312,0.80995,0.81121,0.003913468,62.82400333
04/12/2012,0.81121,0.8139,0.81003,0.8133,0.003910124,66.37590033
05/12/2012,0.81329,0.81475,0.81115,0.81192,0.003886269,62.15330508
06/12/2012,0.81192,0.8126,0.80658,0.80793,0.004050402,51.87728861
07/12/2012,0.80793,0.80824,0.80452,0.80599,0.004024986,47.74402495
10/12/2012,0.80545,0.80586,0.80331,0.80496,0.003921526,45.66381023
11/12/2012,0.80496,0.80773,0.80436,0.80707,0.003879101,50.42866497
12/12/2012,0.80707,0.81005,0.80622,0.80959,0.003875324,55.45303249
13/12/2012,0.80959,0.81203,0.80896,0.81163,0.003813376,59.069711
14/12/2012,0.81164,0.81452,0.80977,0.81378,0.003885424,62.52312107
17/12/2012,0.81455,0.81563,0.81125,0.81244,0.003923468,59.17214245
18/12/2012,0.81244,0.81449,0.81183,0.81397,0.003826278,61.696445
19/12/2012,0.81397,0.81683,0.81283,0.81409,0.003839642,61.89543732
20/12/2012,0.81409,0.81616,0.81158,0.81358,0.003896592,60.45788462
21/12/2012,0.81358,0.81558,0.8115,0.81543,0.0039107,63.7471126
24/12/2012,0.81533,0.81848,0.81445,0.8178,0.003919877,67.47923694
25/12/2012,0.8179,0.819,0.81653,0.81748,0.003808348,66.48402151
26/12/2012,0.81765,0.82089,0.81663,0.81955,0.003843091,69.60671677
27/12/2012,0.81954,0.82245,0.81848,0.82213,0.003852853,72.98514285
28/12/2012,0.82213,0.82253,0.81675,0.81805,0.004001095,61.3678969
31/12/2012,0.81904,0.81904,0.81042,0.81189,0.004356395,48.75088626
01/01/2013,0.81189,0.81367,0.80817,0.81209,0.004444365,49.11667027
02/01/2013,0.81207,0.81528,0.81066,0.81116,0.004457875,47.4217338
03/01/2013,0.81116,0.81208,0.80855,0.81012,0.0043865,45.52959343
04/01/2013,0.81012,0.81438,0.80973,0.81309,0.00440677,51.48314792
07/01/2013,0.81384,0.81498,0.81049,0.81391,0.004413172,53.01022571
08/01/2013,0.81391,0.81616,0.8137,0.81481,0.004262928,54.69569693
09/01/2013,0.81481,0.81628,0.81342,0.81533,0.00415501,55.68474356
10/01/2013,0.81533,0.82124,0.81446,0.82083,0.004356933,64.51000012
11/01/2013,0.82083,0.82874,0.82042,0.82722,0.004661784,71.58915058
14/01/2013,0.82735,0.83258,0.82721,0.83236,0.004716262,75.77501869
15/01/2013,0.83236,0.83255,0.82664,0.82822,0.004808088,67.18848154
16/01/2013,0.82822,0.83187,0.82662,0.83019,0.004842081,68.9892381
17/01/2013,0.83019,0.83654,0.83004,0.83635,0.004969614,73.82640643
18/01/2013,0.83635,0.83972,0.83559,0.83931,0.004905028,75.78130898
21/01/2013,0.83882,0.84211,0.83778,0.84099,0.004860795,76.8386798
22/01/2013,0.84099,0.84406,0.83642,0.8411,0.00507458,76.90976401
23/01/2013,0.8411,0.84205,0.83794,0.84048,0.005000382,75.50320207
24/01/2013,0.84048,0.8481,0.83911,0.84723,0.005307275,79.8284698
25/01/2013,0.84723,0.85368,0.8463,0.85192,0.005466716,82.18246249
28/01/2013,0.85177,0.85865,0.85174,0.85733,0.005577738,84.43841159
29/01/2013,0.85733,0.8575,0.85278,0.85589,0.005511758,81.48115702
30/01/2013,0.85589,0.86066,0.85564,0.8587,0.00547393,82.75070336
31/01/2013,0.8587,0.85942,0.85541,0.85625,0.00536132,77.74622876
01/02/2013,0.85624,0.87169,0.85594,0.86922,0.006160449,83.45177069
04/02/2013,0.86944,0.87045,0.85685,0.85742,0.006732723,66.69737592
05/02/2013,0.85742,0.86874,0.85544,0.86739,0.007237898,71.84139087
06/02/2013,0.86739,0.86814,0.86155,0.86352,0.007188059,67.48401362
07/02/2013,0.86352,0.86615,0.85162,0.85256,0.007752824,56.94929267
